PrimerNombre;SegundoNombre;PrimerApellido;SegundoApellido;TipoDocumento;NumeroDocumento
Oscar;Andres;Vasquez ;Leon;CC;1010101010
Yudi;Marcela;Romero;Ramirez;CC ;1020202020
Mathias;;Vasquez ;Romero;RC;1030303030
Juan;Jose;Vasquez ;Romero;RC;1040404040
Aide;Rocio;Leon;Gaitan;CC;1050505050
Luis;Angel;Vasquez ;Rincon;CC;1060606060
Leonardo;;Romero;Baquero;CC;1070707070
Ana ;Joaquina;Ramirez;Rodriguez;CC;1080808080
Nicolas;Santiago;Vasquez ;Leon;CC;1090909090
Lina ;Maria;Vasquez ;Leon;TI;1011111111
